giris_tarih,hisse,grup,kat,pos52,giris,poz_tl,cikis_tarih,cikis,sebep,getiri_%,tl_kar,max_gordugu_%,dakika
2026-02-20,EBEBK,kirilim,5.5,0.986,64.55,36229.0,2026-02-26,62.6135,stop,-3.03,-1099.0,1.55,
2026-02-20,KZGYO,kirilim,5.9,0.945,27.88,36229.0,2026-02-20,27.0436,stop,-3.03,-1099.0,0.0,
2026-02-20,TATGD,kirilim,5.6,1.031,19.38,36229.0,2026-02-20,18.7986,stop,-3.03,-1099.0,0.26,
2026-02-23,ESCOM,kirilim,14.1,1.168,4.43,70261.0,2026-02-24,4.5629,hedef,2.97,2085.0,8.35,
2026-02-25,MEKAG,kirilim,5.2,0.981,5.96,24115.0,2026-02-26,6.1388,hedef,2.97,715.0,7.21,
2026-02-25,NTGAZ,kirilim,9.5,0.93,12.33,24115.0,2026-02-26,11.9601,stop,-3.03,-731.0,2.92,
2026-02-25,TKNSA,dip,8.3,0.115,21.34,24115.0,2026-02-26,20.6998,stop,-3.03,-731.0,0.47,
2026-03-02,BTCIM,kirilim,5.4,0.796,5.23,106728.0,2026-03-02,5.3869,hedef,2.97,3167.0,3.06,
2026-03-03,AYGAZ,kirilim,6.9,1.011,259.0,27474.0,2026-03-04,251.23,stop,-3.03,-833.0,1.35,
2026-03-03,DESPC,dip,19.2,0.084,42.32,27474.0,2026-03-03,43.5896,hedef,2.97,815.0,3.26,
2026-03-03,INVES,dip,10.9,0.127,268.0,27474.0,2026-03-03,276.04,hedef,2.97,815.0,4.29,
2026-03-03,NTGAZ,kirilim,11.7,0.989,12.82,27474.0,2026-03-03,13.2046,hedef,2.97,815.0,3.9,
2026-03-04,AVTUR,kirilim,7.4,0.963,22.0,28289.0,2026-03-04,21.34,stop,-3.03,-858.0,0.82,
2026-03-04,INVES,dip,8.5,0.175,298.75,28289.0,2026-03-04,289.7875,stop,-3.03,-858.0,0.42,
2026-03-04,MOPAS,kirilim,5.8,0.929,57.35,28289.0,2026-03-04,59.0705,hedef,2.97,839.0,8.81,
2026-03-05,BIENY,dip,6.2,0.158,25.7,55315.0,2026-03-05,24.929,stop,-3.03,-1678.0,0.39,
2026-03-05,KRDMB,kirilim,5.3,1.015,37.64,55315.0,2026-03-05,38.7692,hedef,2.97,1641.0,3.24,
2026-03-06,TUCLK,dip,5.4,0.142,4.43,110594.0,2026-03-09,4.2971,stop,-3.03,-3354.0,2.93,
2026-03-10,CATES,kirilim,6.8,1.117,47.04,26810.0,2026-03-10,48.4512,hedef,2.97,795.0,3.57,
2026-03-10,KRDMA,dip,11.8,0.181,29.5,26810.0,2026-03-10,30.385,hedef,2.97,795.0,3.25,
2026-03-10,MARKA,dip,8.5,-0.052,27.4,26810.0,2026-03-11,26.578,stop,-3.03,-813.0,0.0,
2026-03-10,TATEN,dip,7.6,0.182,10.8,26810.0,2026-03-11,11.124,hedef,2.97,795.0,6.2,
2026-03-11,LINK,dip,5.4,0.052,5.6317,55211.0,2026-03-11,5.4627,stop,-3.03,-1675.0,0.82,
2026-03-12,ARASE,kirilim,7.8,0.992,89.35,26785.0,2026-03-12,92.0305,hedef,2.97,795.0,5.37,
2026-03-12,TBORG,dip,5.6,0.114,155.0,26785.0,2026-03-16,150.35,stop,-3.03,-812.0,0.84,
2026-03-12,YATAS,kirilim,5.4,0.957,47.78,26785.0,2026-03-12,46.3466,stop,-3.03,-812.0,1.67,
2026-03-12,YBTAS,dip,10.0,0.111,23.1,26785.0,2026-03-13,22.407,stop,-3.03,-812.0,0.0,
2026-03-13,PAGYO,kirilim,5.3,0.888,100.5,53551.0,2026-03-13,103.515,hedef,2.97,1589.0,3.28,
2026-03-16,ARASE,kirilim,5.8,1.068,103.1,16223.0,2026-03-17,106.193,hedef,2.97,481.0,3.69,
2026-03-16,KRDMB,kirilim,10.3,1.022,48.32,16223.0,2026-03-17,49.7696,hedef,2.97,481.0,6.79,
2026-03-16,MARKA,dip,8.2,0.035,25.92,16223.0,2026-03-17,26.6976,hedef,2.97,481.0,12.96,
2026-03-16,MEGAP,dip,6.7,0.074,2.58,16223.0,2026-03-19,2.5026,stop,-3.03,-492.0,2.33,
2026-03-16,REEDR,dip,5.6,0.121,6.72,16223.0,2026-03-17,6.9216,hedef,2.97,481.0,5.95,
2026-03-17,AVPGY,dip,5.3,0.182,50.25,6493.0,2026-03-18,51.7575,hedef,2.97,193.0,3.48,
2026-03-17,KRDMB,kirilim,6.1,1.057,51.55,6493.0,2026-03-18,53.0965,hedef,2.97,193.0,10.18,
2026-03-17,LINK,dip,5.7,0.089,6.14,6493.0,2026-03-18,6.3242,hedef,2.97,193.0,4.23,
2026-03-17,REEDR,dip,15.9,0.18,7.22,6493.0,2026-03-18,7.4366,hedef,2.97,193.0,4.99,
2026-03-18,LINK,dip,6.1,0.106,6.37,33408.0,2026-03-18,6.5611,hedef,2.97,991.0,3.61,
2026-03-18,YESIL,dip,9.3,0.176,1.7,33408.0,2026-03-18,1.649,stop,-3.03,-1013.0,0.0,
2026-03-19,EMKEL,dip,6.7,0.029,20.68,23384.0,2026-03-19,21.3004,hedef,2.97,694.0,7.06,
2026-03-19,FZLGY,kirilim,6.6,1.035,17.8,23384.0,2026-03-23,18.334,hedef,2.97,694.0,8.99,
