tarih,hisse,kova,grup,kat,pos52,giris,tf,sebep,cikis,cikis_saat,getiri_%,max_%,min_%,max_saat,min_saat,max_fiyat,min_fiyat
2026-03-02,BORLS,dipkir,dip,6.1,0.008,2.84,15dk,hedef,2.9252,10:00,2.97,10.56,-1.41,17:30,10:00,3.14,2.8
2026-03-02,CEOEM,dipkir,dip,8.2,-0.076,18.7,15dk,hedef,19.261,10:00,2.97,14.12,0.11,17:30,10:00,21.34,18.72
2026-03-02,DGGYO,dipkir,dip,50.2,-0.087,27.14,15dk,hedef,27.9542,10:00,2.97,8.55,0.0,10:00,10:00,29.46,27.14
2026-03-02,DNISI,dipkir,dip,27.3,0.066,19.17,15dk,hedef,19.7451,10:00,2.97,5.89,0.0,16:30,10:00,20.3,19.17
2026-03-02,DOFER,dipkir,dip,6.1,0.157,29.16,15dk,hedef,30.0348,10:00,2.97,10.43,0.14,16:00,10:00,32.2,29.2
2026-03-02,EGEEN,dipkir,dip,9.6,-0.139,6000.0,15dk,hedef,6180.0,10:00,2.97,4.83,-1.33,10:00,10:00,6290.0,5920.0
2026-03-02,EGSER,dipkir,dip,8.3,0.008,2.81,15dk,hedef,2.8943,10:00,2.97,6.05,0.0,10:00,10:00,2.98,2.81
2026-03-02,EKSUN,dipkir,dip,7.4,0.057,4.9,15dk,hedef,5.047,10:00,2.97,6.53,-0.41,16:15,10:00,5.22,4.88
2026-03-02,ESCAR,dipkir,dip,5.6,0.101,24.5,15dk,hedef,25.235,10:00,2.97,12.49,0.24,12:30,10:00,27.56,24.56
2026-03-02,FMIZP,dipkir,dip,7.4,0.141,285.0,15dk,gun_sonu,285.25,18:00,0.05,1.23,-4.91,16:15,10:00,288.5,271.0
2026-03-02,GIPTA,dipkir,dip,7.8,0.026,50.8,15dk,hedef,52.324,10:00,2.97,7.48,0.1,17:45,10:00,54.6,50.85
2026-03-02,IHEVA,dipkir,dip,15.4,0.125,2.07,15dk,hedef,2.1321,10:00,2.97,5.8,0.0,10:30,10:00,2.19,2.07
2026-03-02,INGRM,dipkir,dip,58.4,0.078,354.75,15dk,hedef,365.3925,10:00,2.97,7.12,0.0,16:15,10:00,380.0,354.75
2026-03-02,INVEO,dipkir,dip,16.7,0.158,7.2,15dk,hedef,7.416,10:00,2.97,5.56,0.0,10:00,15:30,7.6,7.2
2026-03-02,INVES,dipkir,dip,13.1,0.033,208.6,15dk,hedef,214.858,10:00,2.97,22.0,0.0,18:00,10:00,254.5,208.6
2026-03-02,KFEIN,dipkir,dip,5.5,-0.029,8.11,15dk,hedef,8.3533,10:00,2.97,11.34,0.0,16:00,10:00,9.03,8.11
2026-03-02,KMPUR,dipkir,dip,6.0,0.065,13.31,15dk,hedef,13.7093,10:00,2.97,6.09,0.38,10:00,10:00,14.12,13.36
2026-03-02,KOTON,dipkir,dip,5.4,0.092,14.35,15dk,hedef,14.7805,10:00,2.97,6.06,-0.35,14:15,10:00,15.22,14.3
2026-03-02,KRTEK,dipkir,dip,5.4,0.18,25.5,15dk,hedef,26.265,10:00,2.97,3.14,-1.1,10:00,11:45,26.3,25.22
2026-03-02,LYDYE,dipkir,dip,6.3,0.2,13100.0,15dk,hedef,13493.0,10:00,2.97,17.56,-0.76,18:00,10:00,15400.0,13000.0
2026-03-02,MARBL,dipkir,dip,6.3,0.151,11.3,15dk,hedef,11.639,10:00,2.97,4.69,0.0,10:00,10:00,11.83,11.3
2026-03-02,MERCN,dipkir,dip,5.0,0.05,15.34,15dk,hedef,15.8002,10:00,2.97,4.5,-0.78,16:15,10:00,16.03,15.22
2026-03-02,NATEN,dipkir,dip,5.5,-0.052,7.26,15dk,hedef,7.4778,10:00,2.97,5.37,0.0,10:00,10:00,7.65,7.26
2026-03-02,ORGE,dipkir,dip,6.2,0.004,65.05,15dk,hedef,67.0015,10:00,2.97,5.38,-0.08,16:00,10:00,68.55,65.0
2026-03-02,OTTO,dipkir,dip,8.3,0.012,284.0,15dk,hedef,292.52,10:00,2.97,6.51,-2.2,18:00,10:00,302.5,277.75
2026-03-02,PAMEL,dipkir,dip,5.6,0.065,77.75,15dk,hedef,80.0825,10:00,2.97,5.4,-2.12,10:00,10:00,81.95,76.1
2026-03-02,PARSN,dipkir,dip,20.3,0.194,80.0,15dk,hedef,82.4,10:00,2.97,5.75,0.0,10:00,10:00,84.6,80.0
2026-03-02,PATEK,dipkir,dip,8.2,0.19,18.9,15dk,hedef,19.467,10:00,2.97,9.84,-1.06,11:45,10:00,20.76,18.7
2026-03-02,PENTA,dipkir,dip,11.5,0.073,12.65,15dk,hedef,13.0295,10:00,2.97,5.53,0.08,10:00,12:45,13.35,12.66
2026-03-02,PLTUR,dipkir,dip,6.8,0.018,20.08,15dk,hedef,20.6824,10:00,2.97,6.37,0.0,10:15,10:00,21.36,20.08
2026-03-02,RAYSG,dipkir,dip,6.5,-0.048,198.5,15dk,hedef,204.455,10:00,2.97,5.29,-0.05,16:15,10:00,209.0,198.4
2026-03-02,SAMAT,dipkir,dip,9.6,0.1,5.2,15dk,hedef,5.356,10:00,2.97,5.0,-0.19,10:00,10:00,5.46,5.19
2026-03-02,SANFM,dipkir,dip,7.0,0.138,7.01,15dk,hedef,7.2203,10:00,2.97,6.42,0.57,10:15,10:00,7.46,7.05
2026-03-02,SKYMD,dipkir,dip,20.5,0.095,11.27,15dk,hedef,11.6081,10:00,2.97,9.14,0.0,18:00,10:45,12.3,11.27
2026-03-02,SMRVA,dipkir,dip,6.7,0.053,10.245986,15dk,hedef,10.5534,10:00,2.97,6.24,0.0,18:00,10:00,10.8851,10.246
2026-03-02,SUNTK,dipkir,dip,10.8,0.181,33.14,15dk,hedef,34.1342,10:00,2.97,7.85,0.0,16:00,10:30,35.74,33.14
2026-03-02,TATEN,dipkir,dip,6.2,0.017,8.16,15dk,hedef,8.4048,10:00,2.97,7.48,0.0,18:00,10:00,8.77,8.16
2026-03-02,TRILC,dipkir,dip,11.9,-0.099,2.25310222,15dk,hedef,2.3207,10:00,2.97,5.89,0.0,10:00,10:00,2.3857,2.2531
2026-03-02,TUREX,dipkir,dip,5.4,-0.009,6.49,15dk,hedef,6.6847,10:00,2.97,5.86,0.0,10:00,10:00,6.87,6.49
2026-03-02,VERTU,dipkir,dip,7.2,0.19,35.26,15dk,hedef,36.3178,10:00,2.97,18.15,-1.76,16:00,10:00,41.66,34.64
2026-03-02,VESBE,dipkir,dip,6.3,-0.027,7.4,15dk,hedef,7.622,10:00,2.97,3.65,-1.89,10:00,10:00,7.67,7.26
2026-03-02,VRGYO,dipkir,dip,7.7,-0.04,2.08,15dk,hedef,2.1424,10:00,2.97,6.73,0.0,16:45,10:00,2.22,2.08
2026-03-02,YAYLA,dipkir,dip,6.9,0.151,23.02,15dk,hedef,23.7106,10:00,2.97,5.47,-0.96,10:00,10:15,24.28,22.8
2026-03-03,ADEL,dipkir,dip,48.5,0.194,29.58,15dk,hedef,30.4674,10:00,2.97,14.67,0.81,11:45,10:00,33.92,29.82
2026-03-03,BANVT,dipkir,dip,5.2,0.025,154.9,15dk,hedef,159.547,10:00,2.97,4.58,-0.9,10:00,10:00,162.0,153.5
2026-03-03,DESPC,dipkir,dip,59.6,0.084,42.32,15dk,hedef,43.5896,11:45,2.97,3.31,-2.46,12:00,18:00,43.72,41.28
