tarih,hisse,rapor_giris,tv_kaynak,yf_kaynak,tv_open,tv_high,tv_low,tv_close,tv_prev_close,yf_open,yf_high,yf_low,yf_close,yf_prev_close,yf_1h_open,open_fark_%,giris_tv_fark_%,giris_yf_fark_%,sorun,durum
2026-05-05,LINK,6.27,cache_saatlik,yfinance,6.27,6.5,6.01,6.01,5.91,6.27,6.5,6.01,6.01,5.91,6.27,0.0,0.0,0.0,OK,OK
2026-05-05,NTGAZ,13.39,cache_saatlik,yfinance,13.39,13.89,13.37,13.89,12.63,13.39,13.89,13.37,13.89,12.63,13.39,0.0,0.0,0.0,OK,OK
2026-05-06,IHYAY,1.83,cache_saatlik,yfinance,1.83,1.87,1.83,1.86,1.82,1.83,1.87,1.83,1.86,1.82,1.83,0.0,0.0,0.0,OK,OK
2026-05-06,MEGMT,85.8,cache_saatlik,yfinance,85.8,88.3,84.4,85.2,85.8,85.8,88.3,84.4,85.2,85.8,85.8,0.0,0.0,0.0,OK,OK
2026-05-06,TATGD,19.24,cache_saatlik,yfinance,19.24,19.81,18.47,19.81,18.01,19.24,19.81,18.47,19.81,18.01,19.24,0.0,0.0,0.0,OK,OK
2026-05-07,GEDZA,34.48,cache_saatlik,yfinance,34.48,34.74,32.68,32.94,34.12,34.48,34.74,32.68,32.94,34.12,34.48,0.0,0.0,0.0,OK,OK
2026-05-07,MERKO,2.45,cache_saatlik,yfinance,2.45,2.57,2.37,2.5,2.35,2.45,2.57,2.37,2.5,2.35,2.45,0.0,0.0,0.0,OK,OK
2026-05-07,PAGYO,141.2,cache_saatlik,yfinance,141.2,146.0,138.3,144.0,141.2,141.2,146.0,138.3,144.0,141.2,141.2,0.0,0.0,0.0,OK,OK
2026-05-07,RGYAS,195.0,cache_saatlik,yfinance,195.0,195.7,186.0,190.5,182.2,195.0,195.7,186.0,190.5,182.2,195.0,0.0,0.0,0.0,OK,OK
2026-05-07,SURGY,75.2,cache_saatlik,yfinance,75.2,78.0,73.0,73.0,73.0,75.2,78.0,73.0,73.0,73.0,75.2,0.0,0.0,0.0,OK,OK
2026-05-08,PAGYO,142.7,cache_saatlik,yfinance,142.7,155.4,137.0,139.3,144.0,142.7,155.4,137.0,139.3,144.0,142.7,0.0,0.0,0.0,OK,OK
2026-05-11,ANGEN,14.13,cache_saatlik,yfinance,14.13,14.7,13.6,14.7,13.37,14.13,14.7,13.6,14.7,13.37,14.13,0.0,0.0,0.0,OK,OK
2026-05-11,BIGTK,215.0,cache_saatlik,yfinance,215.0,216.0,208.5,211.7,212.5,215.0,216.0,208.5,211.7,212.5,215.0,0.0,0.0,0.0,OK,OK
