tarih,hisse,tip,grup,kat,pos52,acilis,gun_yuksek_%,en_yuksek_%,barem,stop,bar_sayisi
2026-06-01,TRILC,kontrol,dip,0.66,0.092,2.45,2.86,2.86,+2%,False,484
2026-06-02,TRILC,kontrol,dip,0.22,0.101,2.47,0.0,0.0,stop/<1%,False,484
2026-05-15,TTRAK,kontrol,dip,0.73,0.173,472.0,0.64,0.64,stop/<1%,False,222
2026-05-18,TTRAK,kontrol,dip,0.53,0.161,469.25,0.69,0.69,stop/<1%,True,480
2026-05-20,TTRAK,kontrol,dip,0.79,0.104,457.0,0.0,0.0,stop/<1%,False,459
2026-05-21,TTRAK,kontrol,dip,0.39,0.072,450.0,1.11,1.11,+1%,True,447
2026-05-22,TTRAK,kontrol,dip,1.99,-0.038,426.0,6.75,6.75,+5%+,False,475
2026-06-01,TTRAK,kontrol,dip,0.56,0.107,449.25,0.89,0.89,stop/<1%,False,471
2026-06-02,TTRAK,kontrol,dip,0.48,0.111,450.25,1.55,1.55,+1%,False,467
2026-06-03,TTRAK,kontrol,dip,0.53,0.141,457.0,0.0,0.0,stop/<1%,False,454
2026-05-20,TUCLK,kontrol,dip,1.07,0.106,4.28,1.17,1.17,+1%,True,477
2026-05-22,TUCLK,kontrol,dip,1.95,0.026,4.0,6.75,6.75,+5%+,False,468
2026-05-25,TUCLK,kontrol,dip,1.75,0.123,4.34,2.53,2.53,+2%,False,471
2026-06-01,TUCLK,kontrol,dip,0.25,0.158,4.46,4.48,4.48,+4%,False,472
2026-06-05,TUCLK,kontrol,dip,0.16,0.175,4.52,0.22,0.22,stop/<1%,True,442
2026-05-18,TUKAS,kontrol,dip,0.27,0.187,2.6,0.0,0.0,stop/<1%,True,484
2026-05-20,TUKAS,kontrol,dip,0.74,0.134,2.49,0.4,0.4,stop/<1%,True,485
2026-05-21,TUKAS,kontrol,dip,0.66,0.105,2.43,0.82,0.82,stop/<1%,True,465
2026-05-22,TUKAS,kontrol,dip,1.42,0.019,2.25,8.89,8.89,+5%+,False,485
2026-05-25,TUKAS,kontrol,dip,0.11,0.11,2.44,1.64,1.64,+1%,False,476
2026-06-01,TUKAS,kontrol,dip,0.16,0.105,2.43,2.47,2.47,+2%,False,480
2026-06-02,TUKAS,kontrol,dip,0.13,0.105,2.43,2.06,2.06,+2%,False,479
2026-06-03,TUKAS,kontrol,dip,0.08,0.129,2.48,0.4,0.4,stop/<1%,False,481
2026-06-04,TUKAS,kontrol,dip,0.24,0.115,2.45,0.82,0.82,stop/<1%,False,482
