tarih,kat,ilk_ret,getiri_net,sonuc,hisse
2023-03-10,12.237281402805232,0.10059171597633121,-0.007,kapanis,DIRIT
2026-05-12,14.021851320225657,0.03159557661927348,0.043000000000000045,hedef,DITAS
2026-06-05,8.12260333643987,-0.0431192660550459,-0.037000000000000026,stop,DITAS
2026-04-13,11.514688963814034,0.04266211604095571,-0.037000000000000026,stop,DMRGD
2026-05-07,16.065664554627254,0.035911602209944826,-0.004333333333333405,kapanis,DMRGD
2026-05-11,20.192151440423075,-0.009239516702203354,-0.005565279770444736,kapanis,DOKTA
2026-05-15,14.636022473195293,0.08998302207130737,0.043000000000000045,hedef,DSTKF
2026-05-25,8.256422630178486,0.04800000000000004,-0.012725190839694693,kapanis,DURDO
2026-04-15,26.932845562172144,0.051600261267145786,0.017844720496894236,kapanis,DYOBY
2026-04-16,8.855278113722198,-0.005878894767783693,-0.037000000000000026,stop,DYOBY
2026-06-01,8.434194600031987,0.01060606060606073,-0.037000000000000026,stop,ECOGR
2026-04-24,23.86184529707903,0.04562268803945768,-0.037000000000000026,stop,EDATA
2026-04-16,12.95573168374251,-0.02490706319702607,-0.037000000000000026,stop,EGEEN
2026-05-12,8.462298843093546,0.0007518796992480592,-0.036999999999999915,stop,EGGUB
2026-04-16,9.55778591102894,0.0022857142857142243,-0.00642987457240573,kapanis,EGPRO
2026-05-12,9.462254193913948,-0.008064516129032362,0.0038401084010840697,kapanis,EGSER
2023-06-06,9.587535284445382,-0.004733727810650734,0.0013234244946492895,kapanis,EKIZ
2026-04-20,14.402460902069516,0.036666666666666625,-0.037000000000000026,stop,EKSUN
2022-12-07,31.05305981557276,0.0,-0.009093510118632346,kapanis,EMNIS
2023-03-29,9.588877261175064,0.00233644859813098,-0.007,kapanis,EMNIS
2025-01-21,9.086046297150235,-0.039640375970576125,0.022787234042553124,kapanis,EMNIS
2026-05-08,8.546121847653023,0.014763779527559029,-0.037000000000000026,stop,EMPAE
2026-05-05,15.737407002575937,0.04395604395604402,0.043000000000000045,hedef,ENSRI
2026-04-08,10.702886654524587,-0.0015723270440252124,0.043000000000000045,hedef,EPLAS
2026-04-03,15.853930738092343,0.023316062176165886,-0.037000000000000026,stop,ERCB
2026-05-12,8.645257548845471,-0.0346153846153846,-0.007,kapanis,ERCB
2026-04-22,11.906628082289433,-0.055102040816326636,0.043000000000000045,hedef,ESEN
2026-04-17,9.925951074753092,0.0046511627906977715,0.043000000000000045,hedef,ETILR
2026-04-20,10.895207988261951,0.05508474576271194,-0.007,kapanis,ETILR
2026-05-26,8.243107496269436,0.03204047217537953,-0.007,kapanis,ETILR
2024-12-24,27.749844629984132,0.014285714285714235,0.007084507042253502,kapanis,EUHOL
2026-05-11,18.345080703937903,0.013071895424836555,0.043000000000000045,hedef,EYGYO
2026-04-03,23.860808753626603,0.014942528735632177,-0.03700000000000014,stop,FADE
2026-04-14,9.953624184129165,-0.01024140453547917,0.021085735402808566,kapanis,FLAP
2026-04-28,15.47723008083141,-0.001612903225806428,-0.037000000000000026,stop,FMIZP
2026-05-21,10.520825911067513,0.035590706870983535,-0.036999999999999915,stop,FRMPL
2026-04-29,21.78122075362763,0.03174603174603163,-0.037000000000000026,stop,GARFA
2022-06-24,16.110628546082907,0.2212962962962961,-0.03050265352539793,kapanis,GATEG
2023-01-09,8.495888580448062,0.0,-0.00044848123883267036,kapanis,GATEG
2023-09-26,9.587613772235914,0.0006734006734006037,-0.015075370121130464,kapanis,GATEG
2026-01-30,11.577939432050421,-0.05913978494623651,-0.022000000000000013,kapanis,GATEG
2026-05-12,31.027185650965396,0.007987220447284393,-0.037000000000000026,stop,GEDIK
2026-05-07,9.589394015190082,-0.03306264501160072,-0.01899760047990417,kapanis,GEDZA
2026-05-08,14.09149183971975,0.04788418708240538,-0.03700000000000014,stop,GENIL
2026-05-11,10.201655436977664,0.0354767184035476,0.005847965738758127,kapanis,GENIL
2026-06-05,11.563090833014673,0.029356652092442204,-0.037000000000000026,stop,GENKM
2026-04-15,19.204537984484514,0.04789550072568938,0.004080332409972415,kapanis,GENTS
2026-04-07,10.473778005353983,0.02046959662853709,-0.03700000000000014,stop,GEREL
2026-04-16,9.401814281075152,0.0,-0.007,kapanis,GIPTA
2026-03-24,16.597748500511702,0.011522633744855959,-0.037000000000000026,stop,GLBMD
2026-04-29,10.08227878881099,0.010937500000000044,-0.037000000000000026,stop,GLCVY
