hedef_%,hisse,giris_tarih,cikis_tarih,grup,kat,giris,kayitli_sebep,kayitli_cikis,kayitli_getiri_%,kayitli_tl_kar,beklenen_sebep,beklenen_cikis,beklenen_cikis_tarih,gun_kapanis_%,max_gordugu_%,ilk_bar_saat,1dk_gun_low,1dk_gun_high,flags,durum
2,CUSAN,2026-06-04,2026-06-04,orta,29.0,28.78,stop,27.9166,-3.63,-572.0,stop,27.9166,2026-06-04,-4.1,1.32,09:55,26.78,29.68,-,OK
2,KNFRT,2026-06-04,2026-06-04,orta,9.4,16.69,hedef,17.0238,1.37,215.0,hedef,17.0238,2026-06-04,-2.5,3.77,09:55,15.78,17.54,-,OK
2,LUKSK,2026-06-04,2026-06-04,orta,29.9,118.7,stop,115.139,-3.63,-572.0,stop,115.139,2026-06-04,-7.4,0.08,09:55,109.3,118.8,-,OK
2,MAKIM,2026-06-04,2026-06-04,orta,20.2,19.59,stop,19.0023,-3.63,-572.0,stop,19.0023,2026-06-04,-7.6,0.77,09:55,17.76,19.74,-,OK
2,UFUK,2026-06-04,2026-06-04,orta,27.9,1387.0,stop,1345.39,-3.63,-572.0,stop,1345.39,2026-06-04,-3.4,0.0,10:00,1236.0,1387.0,-,OK
2,AVGYO,2026-06-05,2026-06-05,orta,83.5,14.0,stop,13.58,-3.63,-696.0,stop,13.58,2026-06-05,-4.9,1.57,09:55,13.01,14.22,-,OK
2,BARMA,2026-06-05,2026-06-05,tepe,34.9,59.1,hedef,60.282,1.37,262.0,hedef,60.282,2026-06-05,2.6,2.37,09:55,58.9,61.55,-,OK
2,CMBTN,2026-06-05,2026-06-05,dip,19.5,1595.0,hedef,1626.9,1.37,262.0,hedef,1626.9,2026-06-05,0.1,2.63,09:55,1589.0,1637.0,-,OK
2,ULUFA,2026-06-05,2026-06-05,orta,8.6,4.0,hedef,4.08,1.37,262.0,hedef,4.08,2026-06-05,-2.5,2.75,09:55,3.89,4.2,-,OK
2,POLTK,2026-06-08,2026-06-08,dip,9.1,5270.0,stop,5111.9,-3.63,-1393.0,stop,5111.9,2026-06-08,-4.6,0.05,09:55,4980.0,5272.5,-,OK
2,SEKUR,2026-06-08,2026-06-08,kirilim,14.9,8.06,stop,7.8182,-3.63,-1393.0,stop,7.8182,2026-06-08,9.3,0.5,09:55,7.81,8.81,stop_ama_gun_kapanis_+9.3%|tek_bar_wick,SUPHELI_WICK
3,PRZMA,2026-04-24,2026-04-24,tepe,9.0,25.84,stop,25.0648,-3.63,-3633.0,stop,25.0648,2026-04-24,0.0,0.0,09:55,25.02,25.84,tek_bar_wick,SUPHELI_WICK
3,EUKYO,2026-05-04,2026-05-04,orta,43.7,6.99,hedef,7.1997,2.37,1141.0,hedef,7.1997,2026-05-04,3.6,5.72,09:55,6.99,7.5,-,OK
3,KUVVA,2026-05-04,2026-05-04,orta,9.0,125.0,stop,121.25,-3.63,-1751.0,stop,121.25,2026-05-04,3.2,0.0,09:55,120.3,129.6,-,OK
3,MTRYO,2026-05-05,2026-05-05,orta,12.5,10.74,stop,10.4178,-3.63,-3479.0,stop,10.4178,2026-05-05,2.0,0.0,09:55,10.06,10.95,-,OK
3,IHYAY,2026-05-06,2026-05-08,dip,9.0,1.83,hedef,1.8849,2.37,2184.0,hedef,1.8849,2026-05-08,1.6,3.28,09:55,1.83,1.87,-,OK
3,IDGYO,2026-05-11,2026-05-11,orta,8.9,3.63,stop,3.5211,-3.63,-3432.0,stop,3.5211,2026-05-11,4.7,0.0,09:55,3.45,3.96,-,OK
3,DMSAS,2026-05-12,2026-05-20,orta,10.7,9.08,hedef,9.3524,2.37,1077.0,hedef,9.3524,2026-05-20,0.6,8.15,09:55,9.08,9.32,-,OK
3,ERBOS,2026-05-12,2026-05-12,kirilim,17.0,217.9,hedef,224.437,2.37,1077.0,hedef,224.437,2026-05-12,-2.4,3.72,09:55,212.7,226.0,-,OK
3,ETYAT,2026-05-13,2026-05-20,orta,10.1,8.0,stop,7.76,-3.63,-1693.0,stop,7.76,2026-05-20,1.4,2.5,09:55,7.92,8.2,-,OK
