tarih,kat,aralik_pos,sonuc,getiri_net,gun,hisse
2026-03-31,12.750799843674445,0.661,stop,-0.037,10,AYDEM
2026-05-26,17.693987786240648,0.415,acik,,6,AYDEM
2024-10-21,14.09583770549143,0.143,hedef,0.093,3,AYEN
2025-03-12,8.332678220475255,0.2,stop,-0.037,5,AYEN
2025-05-13,10.464142091152814,0.289,stop,-0.037,3,AYEN
2025-06-05,37.58231870202176,0.172,stop,-0.0654890333062551,4,AYEN
2025-07-07,13.092165060898019,0.184,hedef,0.093,19,AYEN
2025-09-26,20.603047942965528,0.6,stop,-0.037,1,AYEN
2025-10-28,19.425820935276437,0.422,stop,-0.037,8,AYEN
2026-03-02,14.995477386934674,0.239,hedef,0.093,0,AYEN
2026-03-19,43.970598275038114,0.489,hedef,0.093,2,AYEN
2026-03-31,9.450364782147133,0.836,stop,-0.037,0,AYEN
2026-05-26,14.63244410243256,0.621,stop,-0.037,2,AYEN
2022-07-28,11.886878768975848,1.698,stop,-0.037,1,AYES
2022-09-12,10.920354939942055,0.711,stop,-0.037,1,AYES
2023-09-25,10.238168717377443,0.939,stop,-0.037,2,AYES
2024-05-06,12.287613975062527,1.123,hedef,0.1335693949040272,3,AYES
2024-05-07,19.636917385550415,1.12,stop,-0.037,0,AYES
2025-06-02,12.056960311873889,0.819,hedef,0.093,2,AYES
2025-06-03,12.118904908472352,0.918,stop,-0.037,6,AYES
2025-07-22,17.966861805240693,1.081,stop,-0.037,1,AYES
2026-02-05,10.986619799349244,0.901,hedef,0.093,0,AYES
2026-05-05,8.85842077206116,0.909,hedef,0.093,14,AYES
2024-07-23,31.213054699858464,0.295,hedef,0.093,1,AZTEK
2024-07-24,12.851636974927736,0.452,hedef,0.12120512820512819,1,AZTEK
2024-09-02,9.807947371213327,0.095,hedef,0.13358106841611994,1,AZTEK
2024-09-03,26.06232455269799,0.302,stop,-0.037,0,AZTEK
2024-09-18,9.588691678180465,0.469,stop,-0.037,0,AZTEK
2024-10-24,67.59427774191533,0.183,stop,-0.037,0,AZTEK
2025-01-06,17.68932665913128,0.05,hedef,0.093,4,AZTEK
2025-03-07,11.26947734895767,0.139,stop,-0.037,0,AZTEK
2025-03-11,9.515155834283542,0.14,stop,-0.037,0,AZTEK
2025-04-28,39.7017322473328,0.169,stop,-0.037,0,AZTEK
2025-06-05,68.94973650959967,0.023,stop,-0.09767357512953367,4,AZTEK
2025-06-25,9.309575780582708,0.122,stop,-0.037,0,AZTEK
2025-08-05,47.73523091026585,0.288,stop,-0.037,0,AZTEK
2025-09-12,47.60690789473684,0.246,stop,-0.037,0,AZTEK
2025-10-16,10.990241201508807,0.416,stop,-0.037,0,AZTEK
2025-10-28,18.45750572875709,0.316,stop,-0.037,8,AZTEK
2025-11-26,18.58425453117109,0.282,stop,-0.037,0,AZTEK
2025-11-27,8.795054463377031,0.291,stop,-0.037,0,AZTEK
2026-02-03,19.100706151790828,0.313,stop,-0.037,0,AZTEK
2026-03-02,9.26150197963202,0.08,hedef,0.093,3,AZTEK
2026-03-19,11.618301138097937,0.11,stop,-0.037,1,AZTEK
2026-04-08,8.934933188985456,0.084,hedef,0.093,5,AZTEK
2026-04-16,20.435179130674193,0.243,stop,-0.037,0,AZTEK
2026-05-26,211.08089451616678,0.311,hedef,0.093,1,AZTEK
2024-08-23,9.962306573204602,0.731,stop,-0.037,0,BAGFS
2024-10-01,11.67218992774488,0.156,stop,-0.037,0,BAGFS
2025-01-10,52.67332485927002,0.837,stop,-0.037,0,BAGFS
2025-03-17,8.184148640918623,0.302,stop,-0.037,0,BAGFS
2025-04-09,42.12089601405512,0.6,hedef,0.11386956521739144,1,BAGFS
2025-04-10,44.4772101893475,0.878,hedef,0.093,1,BAGFS
2025-05-07,12.077231297609089,0.717,hedef,0.13508909370199695,2,BAGFS
