tarih,hisse,kova,grup,kat,pos52,giris,tf,sebep,cikis,cikis_saat,getiri_%,max_%,min_%,max_saat,min_saat,max_fiyat,min_fiyat
2026-07-08,LIDER,elenen,orta,5.8,0.562,103.6,15dk,stop,100.492,10:15,-3.03,0.87,-9.99,10:00,18:00,104.5,93.25
2026-07-10,LIDER,elenen,orta,5.6,0.472,93.2,1dk,hedef,95.996,10:00,2.97,4.61,-1.98,17:46,13:46,97.5,91.35
2026-07-27,LIDER,elenen,orta,11.0,0.549,102.1,1dk,stop,99.037,11:02,-3.03,1.76,-4.8,10:16,11:07,103.9,97.2
2026-07-21,LRSHO,dipkir,dip,49.1,0.091,3.24,1dk,hedef,3.3372,10:01,2.97,3.09,-8.02,10:01,18:08,3.34,2.98
2026-07-21,LUKSK,elenen,orta,5.0,0.291,99.7,1dk,stop,96.709,15:43,-3.03,0.1,-4.81,10:36,15:43,99.8,94.9
2026-07-02,LYDHO,elenen,orta,11.0,0.671,181.0,15dk,hedef,186.43,14:15,2.97,3.43,0.28,14:15,10:15,187.2,181.5
2026-07-07,MAKIM,elenen,orta,6.3,0.55,19.43,15dk,hedef,20.0129,10:00,2.97,6.23,-4.99,10:30,17:15,20.64,18.46
2026-07-13,MAKTK,dipkir,dip,7.7,0.009,11.8,1dk,stop,11.446,15:36,-3.03,0.85,-4.92,17:37,15:44,11.9,11.22
2026-07-17,MANAS,elenen,tepe,8.2,1.044,33.74,1dk,stop,32.7278,10:15,-3.03,3.68,-3.08,10:55,10:15,34.98,32.7
2026-07-23,MARTI,elenen,orta,18.5,0.295,1.81,1dk,stop,1.7557,10:15,-3.03,0.55,-6.63,10:00,17:57,1.82,1.69
2026-07-06,MERKO,dipkir,dip,5.6,0.2,1.73,15dk,hedef,1.7819,10:00,2.97,5.78,-3.47,10:00,17:30,1.83,1.67
2026-07-10,METRO,elenen,tepe,6.9,0.818,8.44,1dk,hedef,8.6932,10:25,2.97,3.55,-0.36,10:29,13:55,8.74,8.41
2026-07-24,MEYSU,elenen,orta,20.6,0.388,13.9,1dk,hedef,14.317,10:02,2.97,5.04,-2.88,16:05,15:19,14.6,13.5
2026-07-24,MHRGY,elenen,orta,13.4,0.296,3.76,1dk,stop,3.6472,16:40,-3.03,2.66,-3.72,10:19,17:30,3.86,3.62
2026-07-02,MRSHL,elenen,tepe,9.0,1.045,2360.0,15dk,stop,2289.2,10:15,-3.03,2.97,-6.78,10:30,13:45,2430.0,2200.0
2026-07-21,OBASE,elenen,tepe,19.4,1.111,50.4,1dk,hedef,51.912,10:02,2.97,4.37,-7.1,12:23,17:53,52.6,46.82
2026-07-06,ODINE,elenen,tepe,11.3,0.854,1725.0,15dk,hedef,1776.75,10:00,2.97,7.13,-3.3,10:30,16:00,1848.0,1668.0
2026-07-17,ONCSM,elenen,orta,56.0,0.684,292.0,15dk,stop,283.24,10:15,-3.03,2.05,-3.25,10:00,17:45,298.0,282.5
2026-07-22,ORCAY,elenen,orta,8.3,0.446,4.02,1dk,gun_sonu,4.0,18:05,-0.53,0.75,-1.49,10:04,11:46,4.05,3.96
2026-07-22,OZGYO,elenen,orta,67.5,0.752,2.48,1dk,hedef,2.5544,10:01,2.97,5.65,-3.63,10:18,17:51,2.62,2.39
2026-07-21,OZSUB,elenen,tepe,8.9,0.944,33.02,1dk,gun_sonu,33.12,18:08,0.27,1.33,-2.6,15:40,12:09,33.46,32.16
2026-07-06,OZYSR,elenen,tepe,5.0,0.909,13.2,15dk,hedef,13.596,11:30,2.97,6.06,-1.52,12:45,10:15,14.0,13.0
2026-07-20,OZYSR,elenen,tepe,9.2,0.989,14.2,1dk,stop,13.774,10:51,-3.03,0.56,-7.04,10:01,18:08,14.28,13.2
2026-07-08,PEKGY,elenen,orta,7.1,0.708,14.49,15dk,gun_sonu,14.52,18:00,0.17,1.17,-0.83,15:45,17:45,14.66,14.37
2026-07-27,PENTA,elenen,orta,6.7,0.215,14.0,1dk,gun_sonu,13.67,11:42,-2.39,0.36,-2.86,10:00,11:00,14.05,13.6
2026-07-09,PETUN,elenen,orta,8.1,0.288,11.3,1dk,gun_sonu,11.26,18:05,-0.39,1.33,-0.8,10:51,17:24,11.45,11.21
