tarih,hisse,kat,kat_kova,en_yuksek_%,barem,stop
2023-09-04,AYES,3.13,3-5x,2.69,+2%,False
2023-09-22,AYES,3.42,3-5x,1.33,+1%,False
2023-09-25,AYES,8.61,8x+,0.0,stop/<1%,False
2023-09-26,AYES,4.37,3-5x,0.0,stop/<1%,True
2023-10-24,AYES,3.69,3-5x,0.0,stop/<1%,False
2023-10-25,AYES,6.48,5-8x,0.0,stop/<1%,False
2023-10-27,AYES,3.76,3-5x,0.0,stop/<1%,False
2024-01-15,AYES,6.61,5-8x,0.0,stop/<1%,False
2024-03-01,AYES,4.76,3-5x,2.32,+2%,False
2024-03-04,AYES,4.31,3-5x,1.04,+1%,False
2024-04-15,AYES,4.08,3-5x,0.0,stop/<1%,False
2024-05-02,AYES,3.57,3-5x,0.0,stop/<1%,False
2024-05-06,AYES,13.21,8x+,0.0,stop/<1%,False
2024-05-07,AYES,28.86,8x+,0.0,stop/<1%,True
2024-07-23,AYES,3.16,3-5x,7.36,+5%+,False
2024-09-10,AYES,3.57,3-5x,2.83,+2%,False
2024-09-11,AYES,5.92,5-8x,7.15,+5%+,False
2024-09-12,AYES,4.28,3-5x,0.0,stop/<1%,True
2024-10-17,AYES,4.03,3-5x,0.0,stop/<1%,True
2024-11-25,AYES,4.16,3-5x,0.0,stop/<1%,False
2024-12-17,AYES,3.61,3-5x,0.73,stop/<1%,False
2025-01-08,AYES,4.76,3-5x,0.0,stop/<1%,True
2025-01-09,AYES,3.06,3-5x,6.63,+5%+,False
2025-03-11,AYES,5.87,5-8x,3.7,+3%,False
2025-03-12,AYES,7.29,5-8x,3.56,+3%,False
2025-03-13,AYES,3.47,3-5x,1.04,+1%,False
2025-03-24,AYES,6.92,5-8x,3.79,+3%,False
2025-05-14,AYES,5.56,5-8x,0.0,stop/<1%,False
2025-06-02,AYES,13.34,8x+,0.0,stop/<1%,False
2025-06-03,AYES,17.64,8x+,0.0,stop/<1%,False
2025-06-04,AYES,12.88,8x+,5.78,+5%+,False
2025-07-22,AYES,13.36,8x+,0.94,stop/<1%,False
2025-07-29,AYES,3.95,3-5x,0.0,stop/<1%,False
2025-08-20,AYES,3.11,3-5x,6.74,+5%+,False
2025-09-03,AYES,4.35,3-5x,4.2,+4%,False
2025-10-15,AYES,5.76,5-8x,0.46,stop/<1%,False
2026-01-06,AYES,4.04,3-5x,0.23,stop/<1%,False
2026-01-09,AYES,3.69,3-5x,3.08,+3%,False
2026-01-12,AYES,3.01,3-5x,0.21,stop/<1%,False
2026-01-29,AYES,4.36,3-5x,2.2,+2%,False
2026-02-05,AYES,13.25,8x+,16.47,+5%+,False
2026-03-12,AYES,5.74,5-8x,0.0,stop/<1%,False
2026-05-05,AYES,7.98,5-8x,0.99,stop/<1%,False
2026-05-15,AYES,6.68,5-8x,0.0,stop/<1%,False
2026-05-18,AYES,5.13,5-8x,0.0,stop/<1%,False
2026-05-22,AYES,3.37,3-5x,4.33,+4%,False
2026-05-22,AYGAZ,4.95,3-5x,0.4,stop/<1%,False
2026-05-26,AYGAZ,13.77,8x+,0.08,stop/<1%,False
2026-05-26,AZTEK,195.14,8x+,6.86,+5%+,False
2026-05-26,BAHKM,6.48,5-8x,1.18,+1%,False
2026-05-13,BAKAB,13.23,8x+,0.45,stop/<1%,True
2026-05-21,BAKAB,9.42,8x+,0.0,stop/<1%,True
2026-05-26,BAKAB,9.69,8x+,3.37,+3%,False
2023-04-17,BALAT,3.22,3-5x,0.0,stop/<1%,True
2023-06-06,BALAT,4.0,3-5x,0.0,stop/<1%,True
2023-06-07,BALAT,10.77,8x+,0.0,stop/<1%,True
2023-07-11,BALAT,4.5,3-5x,1.6,+1%,False
2023-07-13,BALAT,3.16,3-5x,1.01,+1%,False
2023-08-31,BALAT,3.45,3-5x,6.23,+5%+,False
2023-09-01,BALAT,3.37,3-5x,9.82,+5%+,False
2023-09-04,BALAT,4.1,3-5x,5.38,+5%+,False
2023-09-19,BALAT,3.1,3-5x,2.0,+2%,False
2023-09-20,BALAT,3.43,3-5x,0.0,stop/<1%,True
2023-10-25,BALAT,3.28,3-5x,0.0,stop/<1%,True
2023-11-06,BALAT,4.3,3-5x,0.0,stop/<1%,False
2023-12-20,BALAT,4.76,3-5x,7.07,+5%+,False
2024-01-08,BALAT,3.6,3-5x,5.27,+5%+,False
2024-01-31,BALAT,3.43,3-5x,2.04,+2%,False
2024-04-29,BALAT,5.27,5-8x,1.6,+1%,False
2024-05-06,BALAT,6.14,5-8x,0.0,stop/<1%,False
2024-05-07,BALAT,7.66,5-8x,0.0,stop/<1%,True
2024-05-21,BALAT,4.56,3-5x,0.0,stop/<1%,True
2024-06-14,BALAT,3.18,3-5x,0.0,stop/<1%,True
2024-06-24,BALAT,3.44,3-5x,2.96,+2%,False
2024-08-05,BALAT,3.42,3-5x,0.0,stop/<1%,True
2024-08-08,BALAT,3.53,3-5x,0.92,stop/<1%,False
2024-08-09,BALAT,3.66,3-5x,11.19,+5%+,False
2024-09-18,BALAT,3.3,3-5x,0.0,stop/<1%,True
2024-12-06,BALAT,7.24,5-8x,8.44,+5%+,False
2025-02-25,BALAT,5.63,5-8x,9.33,+5%+,False
2025-03-25,BALAT,4.82,3-5x,0.0,stop/<1%,False
2025-03-26,BALAT,7.42,5-8x,0.0,stop/<1%,False
2025-03-27,BALAT,4.59,3-5x,0.69,stop/<1%,False
2025-07-16,BALAT,3.65,3-5x,0.0,stop/<1%,False
2025-07-21,BALAT,5.51,5-8x,5.75,+5%+,False
2025-07-22,BALAT,13.67,8x+,0.0,stop/<1%,False
2025-07-23,BALAT,10.43,8x+,0.0,stop/<1%,True
2025-08-25,BALAT,5.21,5-8x,8.11,+5%+,False
2025-09-15,BALAT,6.3,5-8x,0.0,stop/<1%,False
2025-11-03,BALAT,3.32,3-5x,2.38,+2%,False
2025-11-13,BALAT,3.97,3-5x,0.0,stop/<1%,False
2025-11-19,BALAT,4.63,3-5x,0.11,stop/<1%,True
2025-12-25,BALAT,6.41,5-8x,0.0,stop/<1%,True
2026-01-21,BALAT,3.25,3-5x,0.0,stop/<1%,True
2026-02-23,BALAT,4.42,3-5x,0.0,stop/<1%,False
2026-03-06,BALAT,3.92,3-5x,10.11,+5%+,False
2026-03-17,BALAT,3.39,3-5x,2.91,+2%,False
2026-03-18,BALAT,4.02,3-5x,0.0,stop/<1%,True
2026-05-26,BALSU,35.39,8x+,0.37,stop/<1%,False
2026-05-26,BANVT,14.76,8x+,1.27,+1%,False
2026-05-20,BARMA,4.62,3-5x,1.42,+1%,True
2026-05-26,BARMA,18.96,8x+,3.56,+3%,False
2026-06-03,BARMA,9.38,8x+,2.57,+2%,False
2026-06-05,BARMA,34.92,8x+,4.15,+4%,False
2023-02-17,BASCM,8.89,8x+,0.0,stop/<1%,False
2023-02-22,BASCM,6.41,5-8x,0.0,stop/<1%,True
2023-07-13,BASCM,7.91,5-8x,1.63,+1%,False
2023-08-10,BASCM,3.38,3-5x,0.0,stop/<1%,False
2023-08-17,BASCM,3.49,3-5x,16.02,+5%+,False
2023-09-26,BASCM,4.45,3-5x,6.37,+5%+,False
2023-10-24,BASCM,5.02,5-8x,0.0,stop/<1%,False
2023-10-25,BASCM,3.39,3-5x,0.28,stop/<1%,True
2023-10-27,BASCM,3.67,3-5x,0.0,stop/<1%,False
2024-01-30,BASCM,4.06,3-5x,4.99,+4%,False
2024-02-02,BASCM,4.55,3-5x,0.0,stop/<1%,False
2024-02-12,BASCM,4.0,3-5x,6.13,+5%+,False
2024-03-13,BASCM,3.71,3-5x,0.0,stop/<1%,False
2024-04-01,BASCM,4.18,3-5x,0.0,stop/<1%,True
2024-08-08,BASCM,6.91,5-8x,0.17,stop/<1%,False
2024-08-09,BASCM,7.5,5-8x,1.38,+1%,False
2024-10-11,BASCM,8.91,8x+,3.36,+3%,False
2024-11-15,BASCM,3.01,3-5x,0.0,stop/<1%,False
2024-12-10,BASCM,5.37,5-8x,0.0,stop/<1%,True
2025-02-26,BASCM,7.99,5-8x,0.0,stop/<1%,True
2025-03-06,BASCM,3.05,3-5x,1.83,+1%,False
2025-05-20,BASCM,7.14,5-8x,2.66,+2%,False
2025-06-16,BASCM,9.72,8x+,12.23,+5%+,False
2025-07-08,BASCM,4.65,3-5x,2.8,+2%,False
2025-07-29,BASCM,4.9,3-5x,0.0,stop/<1%,False
2025-07-30,BASCM,10.77,8x+,9.92,+5%+,False
2025-08-06,BASCM,6.38,5-8x,0.0,stop/<1%,False
2025-08-07,BASCM,3.27,3-5x,1.39,+1%,False
2025-10-08,BASCM,10.78,8x+,2.71,+2%,False
2025-11-11,BASCM,3.24,3-5x,0.0,stop/<1%,False
2025-11-14,BASCM,3.04,3-5x,13.74,+5%+,False
2025-12-09,BASCM,4.79,3-5x,3.93,+3%,False
2025-12-29,BASCM,4.24,3-5x,3.45,+3%,False
2026-01-23,BASCM,3.16,3-5x,0.86,stop/<1%,False
2026-01-26,BASCM,3.6,3-5x,9.92,+5%+,False
2026-01-27,BASCM,6.91,5-8x,0.3,stop/<1%,False
2026-05-08,BASCM,6.0,5-8x,1.38,+1%,False
2026-05-18,BASCM,3.69,3-5x,0.0,stop/<1%,False
2026-06-01,BASCM,3.77,3-5x,0.0,stop/<1%,False
2026-05-12,BASGZ,3.57,3-5x,1.95,+1%,False
2026-05-26,BASGZ,3.64,3-5x,1.21,+1%,False
2026-05-18,BAYRK,3.44,3-5x,1.9,+1%,True
2026-05-25,BAYRK,15.72,8x+,2.56,+2%,True
2026-05-26,BAYRK,78.99,8x+,5.59,+5%+,True
2026-05-26,BEGYO,9.23,8x+,0.71,stop/<1%,False
2026-05-14,BESLR,12.33,8x+,0.85,stop/<1%,False
2026-05-18,BESLR,8.63,8x+,0.92,stop/<1%,True
2026-05-21,BESLR,4.61,3-5x,0.0,stop/<1%,True
2026-05-26,BESLR,5.69,5-8x,0.47,stop/<1%,False
2026-05-26,BESTE,104.45,8x+,7.88,+5%+,True
2026-05-26,BEYAZ,7.63,5-8x,1.34,+1%,False
2026-05-18,BFREN,4.08,3-5x,0.0,stop/<1%,True
2026-05-22,BFREN,3.4,3-5x,6.92,+5%+,False
2026-05-26,BFREN,22.21,8x+,0.94,stop/<1%,False
2026-05-26,BIENY,30.31,8x+,1.98,+1%,False
2026-05-20,BIGCH,4.23,3-5x,1.82,+1%,False
2026-05-26,BIGCH,11.6,8x+,1.26,+1%,False
2026-05-21,BIGTK,55.95,8x+,9.31,+5%+,False
2026-05-26,BIGTK,6.4,5-8x,0.0,stop/<1%,True
2026-05-26,BINBN,15.22,8x+,0.4,stop/<1%,False
2026-06-03,BINBN,5.27,5-8x,2.18,+2%,True
2026-05-26,BINHO,11.5,8x+,0.0,stop/<1%,False
2026-05-26,BIOEN,12.79,8x+,0.4,stop/<1%,False
2026-05-11,BIZIM,31.92,8x+,4.86,+4%,True
2026-05-26,BIZIM,9.55,8x+,1.4,+1%,False
2026-05-26,BJKAS,3.98,3-5x,0.65,stop/<1%,False
2026-06-03,BJKAS,4.21,3-5x,2.73,+2%,True
2026-05-26,BLCYT,16.4,8x+,1.5,+1%,False
2026-06-03,BLCYT,58.36,8x+,0.0,stop/<1%,True
2026-05-26,BLUME,14.64,8x+,0.16,stop/<1%,False
2026-05-26,BMSCH,13.02,8x+,0.4,stop/<1%,False
2026-05-26,BMSTL,13.5,8x+,1.54,+1%,False
2026-05-26,BNTAS,17.26,8x+,3.68,+3%,False
2026-05-26,BOBET,19.22,8x+,0.48,stop/<1%,False
2026-05-15,BORSK,9.38,8x+,0.68,stop/<1%,False
2026-05-25,BORSK,5.02,5-8x,2.31,+2%,True
2026-05-26,BORSK,26.13,8x+,0.0,stop/<1%,False
2026-05-26,BOSSA,13.06,8x+,0.16,stop/<1%,False
2026-05-26,BRISA,3.97,3-5x,0.91,stop/<1%,False
2023-06-22,BRKO,3.57,3-5x,5.19,+5%+,False
2023-06-23,BRKO,4.71,3-5x,0.83,stop/<1%,False
2023-07-14,BRKO,4.63,3-5x,0.93,stop/<1%,False
2023-07-21,BRKO,3.05,3-5x,2.12,+2%,False
2023-10-18,BRKO,3.83,3-5x,7.56,+5%+,False
2023-10-19,BRKO,3.87,3-5x,1.02,+1%,False
2023-12-18,BRKO,4.6,3-5x,6.27,+5%+,False
2024-01-17,BRKO,3.23,3-5x,0.0,stop/<1%,False
2024-01-30,BRKO,3.81,3-5x,6.01,+5%+,False
2024-01-31,BRKO,11.29,8x+,0.0,stop/<1%,False
2024-02-01,BRKO,3.6,3-5x,0.0,stop/<1%,True
2024-02-06,BRKO,3.08,3-5x,0.0,stop/<1%,True
2024-03-06,BRKO,7.93,5-8x,0.0,stop/<1%,False
2024-03-07,BRKO,5.46,5-8x,0.0,stop/<1%,True
2024-04-16,BRKO,3.66,3-5x,0.0,stop/<1%,False
2024-04-19,BRKO,4.74,3-5x,0.0,stop/<1%,False
2024-04-30,BRKO,4.06,3-5x,0.0,stop/<1%,True
2024-05-07,BRKO,9.41,8x+,0.0,stop/<1%,True
2024-08-19,BRKO,4.5,3-5x,6.96,+5%+,False
2024-08-20,BRKO,3.3,3-5x,0.0,stop/<1%,True
2024-10-01,BRKO,3.85,3-5x,0.0,stop/<1%,False
2024-10-07,BRKO,4.49,3-5x,0.0,stop/<1%,True
2024-12-17,BRKO,5.66,5-8x,0.98,stop/<1%,False
2024-12-18,BRKO,3.56,3-5x,2.38,+2%,False
2025-02-14,BRKO,3.49,3-5x,0.68,stop/<1%,False
2025-03-27,BRKO,5.37,5-8x,0.0,stop/<1%,True
2025-04-07,BRKO,4.02,3-5x,0.0,stop/<1%,False
2025-04-08,BRKO,3.72,3-5x,0.0,stop/<1%,False
2025-04-15,BRKO,6.41,5-8x,0.0,stop/<1%,True
2025-04-30,BRKO,4.81,3-5x,10.0,+5%+,False
2025-07-09,BRKO,4.69,3-5x,0.0,stop/<1%,True
2025-07-24,BRKO,3.03,3-5x,0.0,stop/<1%,True
2025-08-11,BRKO,3.59,3-5x,1.25,+1%,False
2025-09-05,BRKO,3.43,3-5x,8.72,+5%+,False
2025-09-19,BRKO,12.8,8x+,0.0,stop/<1%,True
2025-09-29,BRKO,4.23,3-5x,0.0,stop/<1%,True
2025-12-15,BRKO,4.03,3-5x,2.22,+2%,False
2025-12-24,BRKO,4.9,3-5x,7.14,+5%+,False
2026-02-04,BRKO,3.58,3-5x,3.08,+3%,False
2026-02-13,BRKO,4.01,3-5x,3.75,+3%,False
2026-06-01,BRKO,4.29,3-5x,0.0,stop/<1%,True
2026-05-07,BRKSN,3.86,3-5x,3.26,+3%,False
2026-05-26,BRKVY,4.82,3-5x,0.05,stop/<1%,False
2026-05-15,BRLSM,11.93,8x+,0.0,stop/<1%,False
2026-05-18,BRLSM,15.1,8x+,4.74,+4%,False
2026-05-20,BRLSM,4.98,3-5x,4.86,+4%,True
2026-05-26,BRLSM,22.16,8x+,0.61,stop/<1%,True
2023-06-27,BRMEN,4.22,3-5x,0.0,stop/<1%,False
2023-07-03,BRMEN,3.41,3-5x,7.46,+5%+,False
2023-07-11,BRMEN,5.34,5-8x,0.0,stop/<1%,False
2023-08-10,BRMEN,5.13,5-8x,3.03,+3%,False
2023-08-11,BRMEN,8.31,8x+,0.0,stop/<1%,False
2023-08-14,BRMEN,5.0,5-8x,0.0,stop/<1%,False
2023-10-11,BRMEN,6.66,5-8x,0.0,stop/<1%,True
2023-10-26,BRMEN,5.33,5-8x,0.27,stop/<1%,False
2023-10-27,BRMEN,4.46,3-5x,0.0,stop/<1%,True
2023-11-09,BRMEN,3.61,3-5x,0.0,stop/<1%,False
2023-11-28,BRMEN,20.11,8x+,0.0,stop/<1%,False
2023-11-29,BRMEN,4.73,3-5x,0.0,stop/<1%,False
2023-11-30,BRMEN,3.85,3-5x,0.0,stop/<1%,False
2023-12-01,BRMEN,8.64,8x+,0.0,stop/<1%,True
2024-01-12,BRMEN,4.54,3-5x,0.0,stop/<1%,False
2024-01-31,BRMEN,14.45,8x+,0.0,stop/<1%,True
2024-02-19,BRMEN,7.08,5-8x,5.25,+5%+,False
2024-02-20,BRMEN,7.51,5-8x,0.35,stop/<1%,True
2024-03-12,BRMEN,3.07,3-5x,0.0,stop/<1%,False
2024-03-13,BRMEN,10.72,8x+,0.0,stop/<1%,True
2024-05-06,BRMEN,7.73,5-8x,0.0,stop/<1%,True
2024-07-03,BRMEN,10.03,8x+,0.0,stop/<1%,True
2024-07-23,BRMEN,7.99,5-8x,0.0,stop/<1%,True
2024-07-29,BRMEN,6.4,5-8x,0.0,stop/<1%,False
2024-09-19,BRMEN,6.59,5-8x,2.52,+2%,False
2024-10-18,BRMEN,3.4,3-5x,4.18,+4%,False
2024-10-22,BRMEN,35.68,8x+,0.0,stop/<1%,False
2024-11-07,BRMEN,7.92,5-8x,0.0,stop/<1%,False
2024-11-08,BRMEN,5.77,5-8x,0.0,stop/<1%,False
2024-11-15,BRMEN,3.89,3-5x,0.0,stop/<1%,True
2024-12-25,BRMEN,4.88,3-5x,9.62,+5%+,False
2025-03-12,BRMEN,12.51,8x+,5.08,+5%+,False
2025-03-17,BRMEN,3.79,3-5x,14.29,+5%+,False
2025-03-18,BRMEN,4.77,3-5x,1.33,+1%,False
2025-04-03,BRMEN,4.87,3-5x,7.76,+5%+,False
2025-07-08,BRMEN,5.45,5-8x,0.87,stop/<1%,False
2025-07-11,BRMEN,6.72,5-8x,0.0,stop/<1%,True
2025-07-23,BRMEN,9.97,8x+,0.0,stop/<1%,True
2025-08-08,BRMEN,3.75,3-5x,0.0,stop/<1%,True
2025-08-26,BRMEN,4.67,3-5x,0.0,stop/<1%,False
