tarih,hisse,tf,giris_rapor,giris_sim,sebep_rapor,sebep_sim,getiri_rapor,getiri_sim,durum,hatalar,kat,getiri_%
2026-03-02,VRGYO,15dk,2.08,2.08,hedef,hedef,2.97,2.97,PASS,,7.7,2.97
2026-03-02,YAYLA,15dk,23.02,23.02,hedef,hedef,2.97,2.97,PASS,,6.9,2.97
2026-03-03,ADEL,15dk,29.58,29.58,hedef,hedef,2.97,2.97,PASS,,48.5,2.97
2026-03-03,BANVT,15dk,154.9,154.9,hedef,hedef,2.97,2.97,PASS,,5.2,2.97
2026-03-03,DESPC,15dk,42.32,42.32,hedef,hedef,2.97,2.97,PASS,,59.6,2.97
2026-03-03,INVES,15dk,257.5,257.5,hedef,hedef,2.97,2.97,PASS,,59.5,2.97
2026-03-03,NTGAZ,15dk,13.0,13.0,hedef,hedef,2.97,2.97,PASS,,5.1,2.97
2026-03-03,SDTTR,15dk,282.0,282.0,stop,stop,-3.03,-3.03,PASS,,9.4,-3.03
2026-03-04,AVTUR,15dk,21.2,21.2,hedef,hedef,2.97,2.97,PASS,,7.1,2.97
2026-03-04,INVES,15dk,285.0,285.0,hedef,hedef,2.97,2.97,PASS,,18.6,2.97
2026-03-05,BIENY,15dk,24.06,24.06,hedef,hedef,2.97,2.97,PASS,,8.2,2.97
2026-03-05,BORLS,15dk,3.53,3.53,stop,stop,-3.03,-3.03,PASS,,22.2,-3.03
2026-03-05,GZNMI,15dk,60.55,60.55,gun_sonu,gun_sonu,1.45,1.45,PASS,,10.4,1.45
2026-03-05,INVES,15dk,303.0,303.0,hedef,hedef,2.97,2.97,PASS,,5.8,2.97
2026-03-05,KRDMB,15dk,36.6,36.6,hedef,hedef,2.97,2.97,PASS,,37.6,2.97
2026-03-05,PKENT,15dk,163.0,163.0,hedef,hedef,2.97,2.97,PASS,,9.4,2.97
2026-03-05,QUAGR,15dk,2.99,2.99,hedef,hedef,2.97,2.97,PASS,,12.6,2.97
2026-03-06,BIOEN,15dk,16.55,16.55,gun_sonu,gun_sonu,2.63,2.63,PASS,,7.8,2.63
2026-03-06,QUAGR,15dk,3.2,3.2,stop,stop,-3.03,-3.03,PASS,,9.7,-3.03
2026-03-09,AZTEK,15dk,4.06,4.06,hedef,hedef,2.97,2.97,PASS,,7.6,2.97
2026-03-09,ESCAR,15dk,26.5,26.5,hedef,hedef,2.97,2.97,PASS,,15.8,2.97
2026-03-09,HATEK,15dk,13.35,13.35,hedef,hedef,2.97,2.97,PASS,,12.2,2.97
2026-03-09,KOTON,15dk,14.31,14.31,gun_sonu,gun_sonu,0.6,0.6,PASS,,5.8,0.6
2026-03-09,KRDMB,15dk,38.5,38.5,hedef,hedef,2.97,2.97,PASS,,26.7,2.97
2026-03-09,TATEN,15dk,9.03,9.03,hedef,hedef,2.97,2.97,PASS,,6.0,2.97
2026-03-10,BFREN,15dk,141.3,141.3,gun_sonu,gun_sonu,2.23,2.23,PASS,,5.5,2.23
2026-03-10,BJKAS,15dk,1.46,1.46,gun_sonu,gun_sonu,1.34,1.34,PASS,,5.3,1.34
2026-03-10,CATES,15dk,45.04,45.04,hedef,hedef,2.97,2.97,PASS,,8.7,2.97
2026-03-10,GIPTA,15dk,60.7,60.7,hedef,hedef,2.97,2.97,PASS,,6.4,2.97
2026-03-10,KRDMB,15dk,39.6,39.6,gun_sonu,gun_sonu,0.47,0.47,PASS,,13.9,0.47
2026-03-10,MARKA,15dk,27.22,27.22,hedef,hedef,2.97,2.97,PASS,,13.5,2.97
2026-03-10,TATEN,15dk,10.65,10.65,gun_sonu,gun_sonu,1.38,1.38,PASS,,17.2,1.38
2026-03-11,KFEIN,15dk,8.9,8.9,gun_sonu,gun_sonu,-1.27,-1.27,PASS,,11.8,-1.27
2026-03-11,LINK,15dk,6.0975,6.0975,stop,stop,-3.03,-3.03,PASS,,15.8,-3.03
2026-03-11,YBTAS,1dk,19.74,19.74,hedef,hedef,2.97,2.97,PASS,,9.7,2.97
2026-03-12,ARASE,15dk,92.45,92.45,stop,stop,-3.03,-3.03,PASS,,7.9,-3.03
2026-03-12,DGNMO,15dk,3.98,3.98,stop,stop,-3.03,-3.03,PASS,,16.2,-3.03
2026-03-12,ELITE,15dk,29.02,29.02,hedef,hedef,2.97,2.97,PASS,,13.0,2.97
2026-03-12,TBORG,15dk,151.1,151.1,hedef,hedef,2.97,2.97,PASS,,32.1,2.97
2026-03-12,YATAS,15dk,49.0,49.0,stop,stop,-3.03,-3.03,PASS,,18.3,-3.03
2026-03-12,YBTAS,1dk,22.9,22.9,gun_sonu,gun_sonu,0.58,0.58,PASS,,22.5,0.58
2026-03-12,YGGYO,15dk,169.0,169.0,hedef,hedef,2.97,2.97,PASS,,5.4,2.97
2026-03-13,ENSRI,15dk,34.14,34.14,hedef,hedef,2.97,2.97,PASS,,5.3,2.97
2026-03-13,TUREX,15dk,7.92,7.92,hedef,hedef,2.97,2.97,PASS,,5.3,2.97
2026-03-16,GIPTA,15dk,69.1,69.1,gun_sonu,gun_sonu,1.92,1.92,PASS,,6.9,1.92
2026-03-16,KRDMB,15dk,47.0,47.0,hedef,hedef,2.97,2.97,PASS,,7.9,2.97
2026-03-16,MARKA,15dk,22.12,22.12,hedef,hedef,2.97,2.97,PASS,,11.8,2.97
2026-03-16,YBTAS,1dk,19.23,19.23,hedef,hedef,2.97,2.97,PASS,,5.8,2.97
2026-03-17,DYOBY,15dk,13.79,13.79,gun_sonu,gun_sonu,-1.92,-1.92,PASS,,7.7,-1.92
