tarih,giris,cikis,sonuc,getiri_brut,getiri_net,kat,acilis_ciro,hisse,hedef
2025-12-26,318.75,328.3125,hedef,0.030000000000000027,0.023000000000000027,3.8591291823620653,4437660.5,KLRHO,0.03
2026-01-29,493.0,483.14,stop,-0.020000000000000018,-0.027000000000000017,3.344518142801405,4225996.0,KLRHO,0.03
2026-02-25,382.5,382.5,kapanis,0.0,-0.007,10.157443954569944,35337262.5,KLRHO,0.03
2026-03-04,226.3,233.08900000000003,hedef,0.030000000000000027,0.023000000000000027,47.390250966326185,192467472.6,KLRHO,0.03
2026-03-19,125.7,123.186,stop,-0.020000000000000018,-0.027000000000000017,36.95880898671589,614547622.4,KLRHO,0.03
2026-04-20,121.8,119.36399999999999,stop,-0.020000000000000018,-0.027000000000000017,6.566206441339983,23506182.0,KLRHO,0.03
2026-05-11,140.8,137.984,stop,-0.020000000000000018,-0.027000000000000017,3.108752285156158,27961605.0,KLRHO,0.03
2026-05-26,93.1,91.238,stop,-0.019999999999999907,-0.026999999999999906,35.04932980707405,118057660.0,KLRHO,0.03
2024-06-24,3.4,3.37,kapanis,-0.008823529411764675,-0.015823529411764674,3.166683552212217,2034413.58,QUAGR,0.03
2024-10-01,2.87,2.8126,stop,-0.020000000000000018,-0.027000000000000017,3.5635652218100513,1009834.5599999999,QUAGR,0.03
2024-11-07,2.61,2.59,kapanis,-0.007662835249042099,-0.014662835249042099,3.473529509587082,436128.38999999996,QUAGR,0.03
2024-11-12,2.58,2.59,kapanis,0.003875968992248069,-0.0031240310077519312,3.6454273654590224,534779.8200000001,QUAGR,0.03
2025-01-06,3.3,3.34,kapanis,0.0121212121212122,0.005121212121212199,4.486347497970036,1854132.1400000001,QUAGR,0.03
2025-02-11,3.39,3.42,kapanis,0.008849557522123908,0.0018495575221239074,3.428406174811265,841950.5700000001,QUAGR,0.03
2025-03-10,3.59,3.6976999999999998,hedef,0.030000000000000027,0.023000000000000027,3.544381092935091,1774598.84,QUAGR,0.03
2025-03-13,3.9,4.017,hedef,0.030000000000000027,0.023000000000000027,3.796674654514057,3206892.0,QUAGR,0.03
2025-03-19,3.92,4.0376,hedef,0.030000000000000027,0.023000000000000027,4.8644076423316305,6144164.88,QUAGR,0.03
2025-04-07,4.08,4.2024,hedef,0.030000000000000027,0.023000000000000027,4.456036730566047,3384385.02,QUAGR,0.03
2025-05-26,5.47,5.3606,stop,-0.020000000000000018,-0.027000000000000017,9.648429438811329,20462205.66,QUAGR,0.03
2025-06-05,5.86,5.96,kapanis,0.017064846416382284,0.010064846416382285,10.073372195656276,34891505.28,QUAGR,0.03
2025-07-01,6.2,6.18,kapanis,-0.003225806451612967,-0.010225806451612966,40.11950811977522,57552039.4,QUAGR,0.03
2025-07-24,6.88,6.86,kapanis,-0.0029069767441859407,-0.00990697674418594,3.2761200519704,7801445.28,QUAGR,0.03
2025-08-28,7.41,7.45,kapanis,0.005398110661268607,-0.0016018893387313932,4.884984318933123,5124585.57,QUAGR,0.03
2025-09-22,11.2,10.975999999999999,stop,-0.020000000000000018,-0.027000000000000017,4.283283471169275,22644809.599999998,QUAGR,0.03
2025-10-10,9.99,10.2897,hedef,0.030000000000000027,0.023000000000000027,11.987825577392407,14033560.0,QUAGR,0.03
2025-10-28,8.93,8.8,kapanis,-0.014557670772676223,-0.021557670772676223,55.11087857833777,41242723.470000006,QUAGR,0.03
2025-11-13,5.62,5.788600000000001,hedef,0.030000000000000027,0.023000000000000027,101.41334220183596,143613036.02,QUAGR,0.03
2026-01-05,2.92,2.8615999999999997,stop,-0.02000000000000013,-0.027000000000000128,27.70499730099955,28845424.2,QUAGR,0.03
2026-02-11,2.94,2.8811999999999998,stop,-0.020000000000000018,-0.027000000000000017,3.4892434048334824,1949469.9,QUAGR,0.03
2026-02-13,3.09,3.1827,hedef,0.030000000000000027,0.023000000000000027,8.610773167094166,6661672.29,QUAGR,0.03
2026-02-16,3.47,3.5741000000000005,hedef,0.030000000000000027,0.023000000000000027,9.60006311860312,15261274.58,QUAGR,0.03
2026-03-05,2.99,3.0797000000000003,hedef,0.030000000000000027,0.023000000000000027,23.351026345891185,23402081.17,QUAGR,0.03
2026-03-06,3.2,3.136,stop,-0.020000000000000018,-0.027000000000000017,9.000139280663829,31203091.200000003,QUAGR,0.03
2026-03-19,3.03,3.1209,hedef,0.030000000000000027,0.023000000000000027,5.707119566046084,38471159.75,QUAGR,0.03
