ilk_bar_tepe,ilk_bar_dip,ilk_bar_kapanis,ilk_saat_hareket,gun_sonu,sinyal,hisse
0.0,0.0,0.0,-0.0008591065890055649,-0.01890034495812265,False,ISKPL
0.0,0.0,0.0,0.0,-0.036091548768968806,False,ISKPL
0.0,0.0,0.0,-0.010840109159938716,0.04787714560771339,False,ISKPL
0.0,0.0,0.0,0.0,0.0059829033865193,True,ISKPL
0.0,0.0,0.0,0.0,-0.01991701384546074,True,ISKPL
0.0,0.0,0.0,0.0,-0.03725656191970417,False,ISKPL
0.0,0.0,0.0,-0.0026132406025415333,0.0008710802008471408,False,ISKPL
0.0,0.0,0.0,0.0,0.026086955296524605,False,ISKPL
0.0,0.0,0.0,0.0,0.007620661002751161,False,ISKPL
0.0,0.0,0.0,0.0,-0.017781539357118126,False,ISKPL
0.0,0.0,0.0,0.000868809791823244,0.033883578820733895,False,ISKPL
0.0,0.0,0.0,0.0,-0.009290538228825307,False,ISKPL
0.0,0.0,0.0,-0.00511945427880911,0.07593856579125857,False,ISKPL
0.0,0.0,0.0,0.0,0.018110234702627848,False,ISKPL
0.0,0.0,0.0,0.0,0.033846153521000844,False,ISKPL
0.0,0.0,0.0,-0.0014695078176053533,-0.033798677216758555,False,ISKPL
0.0,0.0,0.0,0.003041825306908663,0.045627374246228314,False,ISKPL
0.0,0.0,0.0,0.0007272727794405132,0.0029090911177620526,False,ISKPL
0.0,0.0,0.0,0.0007251632135769626,-0.04060913485154949,False,ISKPL
0.0,0.0,0.0,0.009063442075213146,0.015861025626991987,False,ISKPL
0.0,0.0,0.0,0.0,-0.014792900448899582,True,ISKPL
0.0,0.0,0.0,-0.0029651595863663394,0.027427723562701622,False,ISKPL
0.0,0.0,0.0,0.0,0.0021660651362009897,True,ISKPL
0.0,0.0,0.0,-0.0007204611462959809,0.0043227668777763295,False,ISKPL
0.0,0.0,0.0,-0.0007168459288188211,0.025089604983577374,False,ISKPL
0.0,0.0,0.0,0.0,0.016027875705423966,False,ISKPL
0.0,0.0,0.0,-0.0006858711042958543,-0.039780521633181354,False,ISKPL
0.0,0.0,0.0,0.0,0.025454547280418627,False,ISKPL
0.0,0.0,0.0,0.0028368796310642708,0.031205673443486903,False,ISKPL
0.0,0.0,0.0,0.0,-0.004103967455013291,False,ISKPL
0.0,0.0,0.0,0.0,0.006868132349996614,False,ISKPL
0.0,0.0,0.0,0.0,0.0,False,ISKPL
0.0,0.0,0.0,0.0,-0.008168822896163275,False,ISKPL
0.0,0.0,0.0,0.0,-0.0020408164683495267,False,ISKPL
0.0,0.0,0.0,0.0,-0.012951602810521656,False,ISKPL
0.006906077835270308,-0.007596685618797339,0.0,0.0,-0.0048342544846892155,True,ISKPL
0.0,0.0,0.0,0.0013793104419996816,0.0020689656629995223,False,ISKPL
