tarih,hisse,kat,kat_kova,acilis,gun_yuksek,gun_dusuk,gun_yuksek_%,gun_dusuk_%,en_yuksek_%,barem,stop,bar_sayisi
2026-06-04,LUKSK,29.92,8x+,118.7,118.8,109.3,0.08,-7.92,0.08,stop/<1%,True,383
2026-05-18,LYDHO,3.01,3-5x,197.1,199.9,191.4,1.42,-2.89,1.42,+1%,False,366
2026-05-22,LYDHO,6.4,5-8x,177.6,190.3,177.6,7.15,0.0,7.15,+5%+,False,389
2026-05-15,MAALT,18.12,8x+,1163.0,1178.0,1039.0,1.29,-10.66,1.29,+1%,True,445
2026-05-22,MAALT,5.41,5-8x,1040.0,1210.0,1040.0,16.35,0.0,16.35,+5%+,False,283
2026-06-04,MAKIM,20.19,8x+,19.59,19.74,17.76,0.77,-9.34,0.77,stop/<1%,True,455
2026-06-02,MARTI,3.04,3-5x,1.99,2.09,1.92,5.03,-3.52,0.0,stop/<1%,True,480
2026-05-20,MEPET,4.53,3-5x,21.5,23.6,21.5,9.77,0.0,9.77,+5%+,False,317
2026-06-03,MEPET,12.92,8x+,25.88,27.3,25.6,5.49,-1.08,5.49,+5%+,False,411
2026-05-13,MNDTR,7.06,5-8x,6.25,6.36,6.05,1.76,-3.2,1.76,+1%,True,331
2026-05-18,MOPAS,3.01,3-5x,45.0,45.9,40.58,2.0,-9.82,2.0,+2%,True,474
2026-05-22,MRGYO,4.27,3-5x,1.36,1.53,1.36,12.5,0.0,12.5,+5%+,False,460
2026-06-03,MSGYO,5.53,5-8x,6.7,6.94,6.4,3.58,-4.48,0.15,stop/<1%,True,456
2026-05-05,MTRYO,12.55,8x+,10.74,10.95,10.06,1.96,-6.33,0.0,stop/<1%,True,256
2026-05-21,NIBAS,5.64,5-8x,6.93,7.34,6.03,5.92,-12.99,5.92,+5%+,True,446
2026-05-22,NIBAS,3.45,3-5x,5.6,6.4,5.43,14.29,-3.04,14.29,+5%+,True,485
2026-05-15,NTHOL,3.31,3-5x,40.0,40.0,39.04,0.0,-2.4,0.0,stop/<1%,False,365
2026-05-22,NTHOL,5.62,5-8x,35.12,37.6,35.12,7.06,0.0,7.06,+5%+,False,456
2026-06-01,NUGYO,8.11,8x+,10.41,10.61,9.9,1.92,-4.9,1.92,+1%,True,441
2026-06-03,NUGYO,8.72,8x+,11.29,11.43,10.61,1.24,-6.02,1.24,+1%,True,447
2026-05-18,ONRYT,8.87,8x+,71.5,75.6,67.75,5.73,-5.24,1.12,+1%,True,476
2026-05-21,OSMEN,3.34,3-5x,7.46,7.56,7.1,1.34,-4.83,1.34,+1%,True,364
2026-05-22,OTTO,4.1,3-5x,223.6,250.0,223.6,11.81,0.0,11.81,+5%+,False,481
2026-05-07,OYLUM,4.17,3-5x,8.9,9.27,8.69,4.16,-2.36,4.16,+4%,False,325
2026-05-21,OZGYO,7.18,5-8x,2.32,2.32,2.07,0.0,-10.78,0.0,stop/<1%,True,317
2026-05-22,OZGYO,5.96,5-8x,2.12,2.2,2.09,3.77,-1.42,3.77,+3%,False,365
2026-06-03,OZGYO,6.15,5-8x,2.18,2.23,2.11,2.29,-3.21,2.29,+2%,True,397
2026-05-12,OZRDN,5.24,5-8x,31.9,33.42,31.08,4.76,-2.57,4.76,+4%,False,297
2026-05-18,OZRDN,4.0,3-5x,30.8,35.44,30.8,15.06,0.0,15.06,+5%+,False,342
2026-05-22,PARSN,3.11,3-5x,76.9,82.9,76.9,7.8,0.0,7.8,+5%+,False,429
2026-05-20,PCILT,23.46,8x+,35.42,35.42,33.0,0.0,-6.83,0.0,stop/<1%,True,279
2026-06-01,PETUN,3.19,3-5x,13.27,13.64,13.01,2.79,-1.96,2.79,+2%,False,384
2026-05-21,PNLSN,7.69,5-8x,48.8,48.8,42.72,0.0,-12.46,0.0,stop/<1%,True,432
2026-05-15,PRKAB,6.22,5-8x,45.64,46.08,44.42,0.96,-2.67,0.96,stop/<1%,False,245
2026-04-17,PRZMA,3.21,3-5x,16.68,18.33,16.68,9.89,0.0,9.89,+5%+,False,424
2026-04-21,PRZMA,3.9,3-5x,19.44,21.38,18.5,9.98,-4.84,0.0,stop/<1%,True,437
